Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 180 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.1072
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 185 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0669
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 190 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.2214
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 195 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.1798
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 200 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0560
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 205 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0315
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 210 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0104
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 215 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0065
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 220 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0147
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 225 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0149
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 230 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0327
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 235 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.5152
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 240 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.9881
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 245 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.4884
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 0 | Raw Crowd Count: 30.00 | Raw Flow Mag: 0.0000
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 6 | Raw Crowd Count: 29.00 | Raw Flow Mag: 9.4636
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 12 | Raw Crowd Count: 25.00 | Raw Flow Mag: 11.7250
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 18 | Raw Crowd Count: 27.00 | Raw Flow Mag: 10.3313
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 24 | Raw Crowd Count: 28.00 | Raw Flow Mag: 10.1968
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 30 | Raw Crowd Count: 24.00 | Raw Flow Mag: 10.2070
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 36 | Raw Crowd Count: 28.00 | Raw Flow Mag: 9.8436
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 42 | Raw Crowd Count: 28.00 | Raw Flow Mag: 10.9474
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 48 | Raw Crowd Count: 30.00 | Raw Flow Mag: 9.3063
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 54 | Raw Crowd Count: 30.00 | Raw Flow Mag: 9.4457
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 60 | Raw Crowd Count: 27.00 | Raw Flow Mag: 9.4583
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 66 | Raw Crowd Count: 29.00 | Raw Flow Mag: 10.0514
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 72 | Raw Crowd Count: 27.00 | Raw Flow Mag: 11.7935
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 78 | Raw Crowd Count: 25.00 | Raw Flow Mag: 10.8037
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 84 | Raw Crowd Count: 25.00 | Raw Flow Mag: 11.1915
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 90 | Raw Crowd Count: 23.00 | Raw Flow Mag: 10.7262
Job: a92d714b-4dbb-4d58-921b-bfe725cac0e8 | Frame: 96 | Raw Crowd Count: 1.00 | Raw Flow Mag: 10.7422
